https,is_email_in_url,is_server_client_in_domain,is_shortened_url,is_spf_domain,is_tld_in_query_params,length_url,qty_and_path,qty_and_query,qty_and_url,qty_asterisk_query,qty_asterisk_url,qty_at_path,qty_at_query,qty_at_url,qty_comma_path,qty_comma_query,qty_comma_url,qty_dollar_path,qty_dollar_query,qty_dollar_url,qty_dot_domain,qty_dot_path,qty_dot_query,qty_dot_url,qty_equal_path,qty_equal_query,qty_equal_url,qty_hashtag_url,qty_hyphen_domain,qty_hyphen_path,qty_hyphen_query,qty_hyphen_url,qty_ip_resolved,qty_mx_servers,qty_nameservers,qty_params,qty_percent_path,qty_percent_query,qty_percent_url,qty_plus_query,qty_plus_url,qty_questionmark_query,qty_questionmark_url,qty_slash_path,qty_slash_query,qty_slash_url,qty_space_path,qty_space_query,qty_space_url,qty_tilde_path,qty_tilde_query,qty_tilde_url,qty_tld,qty_underline_path,qty_underline_query,qty_underline_url,qty_vowels_domain,redirect_count,time_domain_activation,time_domain_expiration,ttl_hostname,url
0,0,0,0,0,1,440,0,8,8,0,0,0,1,1,0,0,0,0,0,0,1,0,21,23,0,10,10,0,0,0,0,0,-1,0,0,9,0,0,0,0,0,1,2,2,13,17,0,0,0,0,0,0,1,0,18,18,11,-1,0.0,0.0,0,http://madeatthe.useramazonexperience.top/signim/?openid.pape.max_auth_age=0&amp;openid.return_to=https:/www.amazon.co.jp/?ref_=nav_em_hd_re_signin&amp;openid.identity=http:/specs.openid.net/auth/2.0/identifier_select&amp;openid.assoc_handle=jpflex&amp;openid.mode=checkid_setup&amp;key=a@b.c&amp;openid.claimed_id=http:/specs.openid.net/auth/2.0/identifier_select&amp;openid.ns=http:/specs.openid.net/auth/2.0&amp;ref_=nav_em_hd_clc_signin
0,0,0,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,4,-1,1445076457.0,1760695657.0,4502,http://89473.ihostfull.com/step1.php
0,0,0,0,1,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,1,0,0,0,5,-1,1491975433.0,1744436233.0,752,http://www.simtechglobal.com/wells/5d5f9394f243de9a1bab0f6d3046f80e/
1,0,0,0,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,4,5,2,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,1,0,0,0,4,0,1528098428.0,1749023228.0,377,https://bestwebfun.com/pt/gateway.html
1,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,4,876715200.0,1742936400.0,1127,https://vk.cc/9MJiZE
0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,1,0,0,0,9,-1,0.0,0.0,0,http://soberrecoverytreatment.com/moves/WellsFargo/WellsFargo/wells/wells.htm
0,0,0,0,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,5,0,7,0,0,0,2,0,2,1,0,0,0,4,0,874306800.0,1852441200.0,0,http://feedproxy.google.com/~r/f379ea/~3/7i3m1yxAQME/apmix
1,0,0,0,1,1,278,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,14,16,0,4,4,0,0,0,0,0,2,1,4,4,0,0,0,0,0,0,1,1,8,11,0,0,0,0,0,0,1,0,0,0,4,2,874306800.0,1852441200.0,0,https://accounts.google.com/ServiceLogin?service=cds&amp;passive=1209600&amp;continue=https://storage.cloud.google.com/staging.maintainancecomponeta.appspot.com/bsnnindex.html&amp;followup=https://storage.cloud.google.com/staging.maintainancecomponeta.appspot.com/bsnnindex.html
1,0,0,0,1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,3,0,3,2,1,4,1,0,0,0,0,0,0,1,3,0,5,0,0,0,0,0,0,1,0,0,0,4,3,874306800.0,1852441200.0,0,https://sites.google.com/view/bt-see-your-bill/home?authuser=1
0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,1,0,0,0,3,-1,1578838846.0,1705069246.0,0,http://blueprint.sd/wp-content/themes/skand/update
